# data from comet - large problem size 646K tree nodes
#
# native pdht
# mvapich

# procs      init         compress       reconstruct      diff
24         20.8827355  3.1114726         3.0450113      37.1941082 
40         15.2159332  2.1787841         2.1249128      29.0917189
60          8.8963221  1.5008811         1.4420026      14.8835990
120         5.3247685  0.8494460         0.7746382       6.7777173
160         5.0683760  0.6936266         0.5917208       5.2077106
240         5.3113748  0.4877273         0.4466744       3.8518300


24          6.7937661  5.0755312         4.9917289      10.7737317
40          5.3532923  4.0597901         4.1151657       8.7283691
60          6.1057091  3.8119446         3.2712067       6.8311786
120         4.9214162  3.2850781         2.4713133       4.8760189 
180         5.3783228  1.7635774         2.2461143       3.5289317
240         6.6875944  1.5851369         1.3115044       3.1557526
