#  mlen     local time    remote time   128b remote  1024 remote
#
# senna data (rhodes cluster)
#       1    0.0113320    0.0120177       0.0106239    0.0336881
#      10    0.0119643    0.0112238       0.0107818    0.0389981
#     100    0.0150661    0.0120621       0.0119720    0.0286260
#    1000    0.1002960    0.1057220       0.0954719    0.1307359
#    2000    0.1836362    0.1846280       0.1849937    0.2132797
#    5000    0.3764720    0.3911123       0.4573922    0.4337440
#   10000    0.6909461    0.7703519       0.8988180    0.8048940
#   20000    1.3783278    1.5737500       1.9834261    1.8542700
#   50000    3.2467699    4.0150042       5.3451080    5.1376462
#  100000   12.1384282   13.6170101      18.4999719   20.7531123



#  mlen     local time    remote time   128b remote  1024 remote
#
# comet (sdsc cluster)
       1    1.9224589     1.9429960      1.9122360    4.2107441
      10    3.8782649     3.9171469      3.8617642    8.4532251
     100    5.8765929     5.9384918      5.8569582   12.7710340
    1000    7.9502418     8.0266409      7.9165921   17.1040850
    2000   10.0922368    10.1879938     10.0359972   21.5903189
    5000   12.3090858    12.4867206     12.2375751   26.2516849
   10000   14.6339617    14.8209596     14.5693941   31.3033009
   20000   17.1049676    17.2997596     17.0336499   38.0511611
   50000   20.0479934    20.2580438     19.8238499   45.5959220
  100000   27.5300655    25.6661186     23.6749690   54.9679878
